GeneSymbol	GO_term
ABCA1	membrane
ABCA1	ATP binding
ABCA1	transmembrane transport
ABCA1	ATP hydrolysis activity
ABCA1	ABC-type transporter activity
ABCA1	protein binding
ABCA1	plasma membrane
ABCA1	endosome
ABCA1	Golgi apparatus
ABCA1	cholesterol metabolic process
ABCA1	ATPase-coupled intramembrane lipid transporter activity
ABCA1	lipid transporter activity
ABCA1	intracellular membrane-bounded organelle
ABCA1	endoplasmic reticulum membrane
ABCA1	perinuclear region of cytoplasm
ABCA1	phosphatidylcholine binding
ABCA1	ATPase binding
ABCA1	signaling receptor binding
ABCA1	ATPase-coupled transmembrane transporter activity
ABCA1	regulation of Cdc42 protein signal transduction
ABCA1	small GTPase binding
ABCA1	response to laminar fluid shear stress
ABCA1	cholesterol efflux
ABCA1	export across plasma membrane
ABCA1	cholesterol homeostasis
ABCA1	phosphatidylcholine floppase activity
ABCA1	phosphatidylserine floppase activity
ABCA1	membrane raft
ABCA1	cholesterol binding
ABCA1	adenylate cyclase-activating G protein-coupled receptor signaling pathway
ABCA1	high-density lipoprotein particle assembly
ABCA1	reverse cholesterol transport
ABCA1	phospholipid transporter activity
ABCA1	high-density lipoprotein particle binding
ABCA1	protein transmembrane transporter activity
ABCA1	syntaxin binding
ABCA1	apolipoprotein binding
ABCA1	apolipoprotein A-I binding
ABCA1	apolipoprotein A-I receptor activity
ABCA1	sphingolipid floppase activity
ABCA1	cholesterol transfer activity
ABCA1	floppase activity
ABCA1	peptide secretion
ABCA1	phagocytosis, engulfment
ABCA1	lysosome organization
ABCA1	G protein-coupled receptor signaling pathway
ABCA1	response to nutrient
ABCA1	protein secretion
ABCA1	response to xenobiotic stimulus
ABCA1	negative regulation of macrophage derived foam cell differentiation
ABCA1	positive regulation of cholesterol efflux
ABCA1	negative regulation of cholesterol storage
ABCA1	phospholipid transport
ABCA1	endosomal transport
ABCA1	signal release
ABCA1	cholesterol transport
ABCA1	response to nutrient levels
ABCA1	intracellular cholesterol transport
ABCA1	response to vitamin B3
ABCA1	phospholipid efflux
ABCA1	apolipoprotein A-I-mediated signaling pathway
ABCA1	lipoprotein metabolic process
ABCA1	lipoprotein biosynthetic process
ABCA1	phospholipid translocation
ABCA1	establishment of localization in cell
ABCA1	phospholipid homeostasis
ABCA1	platelet dense granule organization
ABCA1	cellular response to lipopolysaccharide
ABCA1	cellular response to retinoic acid
ABCA1	cellular response to cytokine stimulus
ABCA1	cellular response to cholesterol
ABCA1	cellular response to low-density lipoprotein particle stimulus
ABCA1	cellular response to xenobiotic stimulus
ABCA1	protein transmembrane transport
ABCA1	regulation of high-density lipoprotein particle assembly
ABCA1	positive regulation of high-density lipoprotein particle assembly
ABCA1	sphingolipid translocation
ABCA1	external side of plasma membrane
ABCA1	cell surface
ABCA1	basolateral plasma membrane
ABCA1	endocytic vesicle
ABCA1	phagocytic vesicle
ABCA1	intracellular vesicle
ABCA1	lipid transport
ABCA1	
ACRBP	
ACRBP	protein binding
