GeneSymbol	Ensembl_gene_ID	Ensembl_transcript_ID
ABCA1	ENSG00000165029	ENST00000374736
ABCA1	ENSG00000165029	ENST00000678995
ABCA1	ENSG00000165029	ENST00000494467
ABCA1	ENSG00000165029	ENST00000423487
ABCA1	ENSG00000165029	ENST00000374733
ACRBP	ENSG00000111644	ENST00000540513
ACRBP	ENSG00000111644	ENST00000229243
ACRBP	ENSG00000111644	ENST00000414226
ACRBP	ENSG00000111644	ENST00000542357
ACRBP	ENSG00000111644	ENST00000536350
ACRBP	ENSG00000111644	ENST00000535884
ACRBP	ENSG00000111644	ENST00000544352
ACRBP	ENSG00000111644	ENST00000546114
ACRBP	ENSG00000111644	ENST00000538524
ACTN4	ENSG00000282844	ENST00000635260
ACTN4	ENSG00000282844	ENST00000634960
ACTN4	ENSG00000282844	ENST00000634692
ACTN4	ENSG00000282844	ENST00000634682
ACTN4	ENSG00000282844	ENST00000634514
ACTN4	ENSG00000282844	ENST00000635701
ACTN4	ENSG00000282844	ENST00000635153
ACTN4	ENSG00000282844	ENST00000635294
ACTN4	ENSG00000282844	ENST00000635719
ACTN4	ENSG00000282844	ENST00000635521
ACTN4	ENSG00000282844	ENST00000635695
ACTN4	ENSG00000130402	ENST00000588618
ACTN4	ENSG00000130402	ENST00000252699
ACTN4	ENSG00000130402	ENST00000440400
ACTN4	ENSG00000130402	ENST00000424234
ACTN4	ENSG00000130402	ENST00000390009
ACTN4	ENSG00000130402	ENST00000589528
ACTN4	ENSG00000130402	ENST00000495553
ACTN4	ENSG00000130402	ENST00000697712
ACTN4	ENSG00000130402	ENST00000489451
ACTN4	ENSG00000130402	ENST00000497637
ACTN4	ENSG00000130402	ENST00000477174
ANKRD12	ENSG00000101745	ENST00000585234
ANKRD12	ENSG00000101745	ENST00000262126
ANKRD12	ENSG00000101745	ENST00000577992
ANKRD12	ENSG00000101745	ENST00000540578
ANKRD12	ENSG00000101745	ENST00000581635
ANKRD12	ENSG00000101745	ENST00000400020
ANKRD12	ENSG00000101745	ENST00000581758
ANKRD12	ENSG00000101745	ENST00000546007
ANKRD12	ENSG00000101745	ENST00000359158
ANXA1	ENSG00000135046	ENST00000468639
ANXA1	ENSG00000135046	ENST00000456643
ANXA1	ENSG00000135046	ENST00000257497
ANXA1	ENSG00000135046	ENST00000415424
ANXA1	ENSG00000135046	ENST00000376911
ANXA1	ENSG00000135046	ENST00000495713
ANXA1	ENSG00000135046	ENST00000489109
ANXA1	ENSG00000135046	ENST00000491192
AP1S2	ENSG00000182287	ENST00000672987
AP1S2	ENSG00000182287	ENST00000329235
AP1S2	ENSG00000182287	ENST00000673445
AP1S2	ENSG00000182287	ENST00000452376
AP1S2	ENSG00000182287	ENST00000671830
AP1S2	ENSG00000182287	ENST00000672063
AP1S2	ENSG00000182287	ENST00000545766
AP1S2	ENSG00000182287	ENST00000380291
AP1S2	ENSG00000182287	ENST00000450644
AP1S2	ENSG00000182287	ENST00000479184
AP1S2	ENSG00000182287	ENST00000673591
ARG1	ENSG00000118520	ENST00000672052
ARG1	ENSG00000118520	ENST00000673234
ARG1	ENSG00000118520	ENST00000672233
ARG1	ENSG00000118520	ENST00000469293
ARG1	ENSG00000118520	ENST00000356962
ARG1	ENSG00000118520	ENST00000275196
ARG1	ENSG00000118520	ENST00000368087
ARG1	ENSG00000118520	ENST00000673427
ARG1	ENSG00000118520	ENST00000498260
ARG1	ENSG00000118520	ENST00000484820
ARGLU1	ENSG00000134884	ENST00000400198
ARGLU1	ENSG00000134884	ENST00000472226
ARGLU1	ENSG00000134884	ENST00000375926
ARGLU1	ENSG00000134884	ENST00000360629
ARHGDIA	ENSG00000141522	ENST00000541078
ARHGDIA	ENSG00000141522	ENST00000582520
ARHGDIA	ENSG00000141522	ENST00000269321
ARHGDIA	ENSG00000141522	ENST00000400721
ARHGDIA	ENSG00000141522	ENST00000584461
ARHGDIA	ENSG00000141522	ENST00000580685
ARHGDIA	ENSG00000141522	ENST00000579121
ARHGDIA	ENSG00000141522	ENST00000581876
ARHGDIA	ENSG00000141522	ENST00000583868
ARHGDIA	ENSG00000141522	ENST00000582984
ARHGDIA	ENSG00000141522	ENST00000580033
ARHGDIA	ENSG00000141522	ENST00000583791
ARHGDIA	ENSG00000141522	ENST00000578351
ARHGDIA	ENSG00000141522	ENST00000583111
ARHGDIA	ENSG00000141522	ENST00000584397
ARHGDIA	ENSG00000141522	ENST00000583499
ARHGDIA	ENSG00000141522	ENST00000582309
ASNSD1	ENSG00000138381	ENST00000607062
ASNSD1	ENSG00000138381	ENST00000425590
ASNSD1	ENSG00000138381	ENST00000260952
ASNSD1	ENSG00000138381	ENST00000420250
ATP6V1G1	ENSG00000136888	ENST00000677115
ATP6V1G1	ENSG00000136888	ENST00000677452
ATP6V1G1	ENSG00000136888	ENST00000678234
ATP6V1G1	ENSG00000136888	ENST00000374050
ATP6V1G1	ENSG00000136888	ENST00000473413
ATP6V1G1	ENSG00000136888	ENST00000677498
ATP6V1G1	ENSG00000136888	ENST00000679150
