GeneSymbol	EntrezGene_ID
ABCA1	19
ACRBP	84519
ACTN4	81
ANKRD12	23253
ANXA1	301
AP1S2	8905
ARG1	383
ARGLU1	55082
ARHGDIA	396
ASNSD1	54529
ATP6V1G1	9550
BAZ2B	29994
BNIP2	663
BTAF1	9044
C15orf39	56905
CAB39	51719
CAMP	820
CAPZA2	830
CARM1	10498
CD3E	916
CD48	962
CD52	1043
CD74	972
CDKN1C	1028
CEACAM8	1088
CHD9	80205
CHURC1	91612
CLDND1	56650
CLIC3	9022
CMPK1	51727
CMTM6	54918
CNIH4	29097
COMMD3	23412
COMMD6	170622
COX7A2	1347
COX7B	1349
COX7C	1350
CPD	1362
CRBN	51185
CTSW	1521
CX3CR1	1524
CYB5R4	51167
CYB5R4	123956252
CYP1B1	1545
DCP2	167227
DEFA1	1667
DEFA3	1668
DEFA4	1669
DEK	7913
DOCK11	139818
DPYSL5	56896
EFR3A	23167
EIF1AY	9086
EVI2A	2123
FAU	2197
FEM1C	56929
FKBP8	23770
FOXN2	3344
GLRX	2745
GMFB	2764
GNG10	2790
GP9	2815
GRINA	2907
GZMH	2999
HDC	3067
HINT1	3094
IFNGR1	3459
ITGA2B	3674
ITGAL	3683
KIR3DL2	3812
LEPROTL1	23484
LMBRD1	55788
LRRN3	54674
LSM3	27258
LY6E	4061
LY96	23643
LYPD2	137797
MAP1S	55201
MAP3K1	4214
MED25	81857
NDUFA4	4697
NDUFB2	4708
NDUFB3	4709
NDUFS4	4724
NKG7	4818
NRGN	4900
ORM1	5004
OSBP2	23762
OXR1	55074
PAPOLA	10914
PCMT1	5110
PCNP	57092
PFDN5	5204
PIGY	84992
PJA2	9867
POLR2A	5430
PPP1CC	5501
PPP1R2	5504
PPP2R1A	5518
PRF1	5551
PROK2	60675
PSMA4	5685
PSMA6	5687
PTEN	5728
RAB10	10890
RAB8B	51762
RAP2A	5911
RB1CC1	9821
RBM12B	389677
RBX1	9978
RCOR3	55758
REEP5	7905
RGS18	64407
RNASE2	6036
RNF10	9921
RNF213	57674
RPL15	6138
RPL17	6139
RPL21	6144
RPL23	9349
RPL26	6154
RPL27	6155
RPL30	6156
RPL31	6160
RPL35A	6165
RPL39	6170
RPL7	6129
RPL9	6133
RPS15A	6210
RPS17	6218
RPS18	6222
RPS27	6232
RPS3A	6189
RPS4Y1	6192
RPS9	6203
RSBN1	54665
S100A12	6283
S100A8	6279
S100P	6286
SLC35A1	10559
SLC38A2	54407
SLPI	6590
SMOX	54498
SNHG5	NA
SNRPG	6637
SPOCK2	9806
SPRYD3	84926
SPTAN1	6709
SSR1	6745
SUZ12	23512
TAX1BP1	8887
TMCO1	54499
TMED5	50999
TMED7	51014
TMEM123	114908
TMEM126B	55863
TMEM158	25907
TMEM71	137835
TNS1	7145
TOMM7	54543
TOMM7	107986346
TPT1	7178
TRAM1	23471
TXN	7295
UBL3	5412
UCP2	7351
UQCRQ	27089
USP15	9958
VAMP7	6845
VBP1	7411
VCAN	1462
VPS29	51699
VPS4B	9525
VWCE	220001
WDFY1	57590
XIST	7503
YPEL5	51646
ZBED5	58486
ZMPSTE24	10269
ZNF281	23528
ZNF683	257101
