GeneSymbol	GeneBiotype
ABCA1	protein_coding
ACRBP	protein_coding
ACTN4	protein_coding
ANKRD12	protein_coding
ANXA1	protein_coding
AP1S2	protein_coding
ARG1	protein_coding
ARGLU1	protein_coding
ARHGDIA	protein_coding
ASNSD1	protein_coding
ATP6V1G1	protein_coding
BAZ2B	protein_coding
BNIP2	protein_coding
BTAF1	protein_coding
C15orf39	protein_coding
CAB39	protein_coding
CAMP	protein_coding
CAPZA2	protein_coding
CARM1	protein_coding
CD3E	protein_coding
CD48	protein_coding
CD52	protein_coding
CD74	protein_coding
CDKN1C	protein_coding
CEACAM8	protein_coding
CHD9	protein_coding
CHURC1	protein_coding
CLDND1	protein_coding
CLIC3	protein_coding
CMPK1	protein_coding
CMTM6	protein_coding
CNIH4	protein_coding
COMMD3	protein_coding
COMMD6	protein_coding
COX7A2	protein_coding
COX7B	protein_coding
COX7C	protein_coding
CPD	protein_coding
CRBN	protein_coding
CTSW	protein_coding
CX3CR1	protein_coding
CYB5R4	protein_coding
CYP1B1	protein_coding
DCP2	protein_coding
DEFA1	protein_coding
DEFA3	protein_coding
DEFA4	protein_coding
DEK	protein_coding
DOCK11	protein_coding
DPYSL5	protein_coding
EFR3A	protein_coding
EIF1AY	protein_coding
EVI2A	protein_coding
FAU	protein_coding
FEM1C	protein_coding
FKBP8	protein_coding
FOXN2	protein_coding
GLRX	protein_coding
GMFB	protein_coding
GNG10	protein_coding
GP9	protein_coding
GRINA	protein_coding
GZMH	protein_coding
HDC	protein_coding
HINT1	protein_coding
IFNGR1	protein_coding
ITGA2B	protein_coding
ITGAL	protein_coding
KIR3DL2	protein_coding
LEPROTL1	protein_coding
LMBRD1	protein_coding
LRRN3	protein_coding
LSM3	protein_coding
LY6E	protein_coding
LY96	protein_coding
LYPD2	protein_coding
MAP1S	protein_coding
MAP3K1	protein_coding
MED25	protein_coding
NDUFA4	protein_coding
NDUFB2	protein_coding
NDUFB3	protein_coding
NDUFS4	protein_coding
NKG7	protein_coding
NRGN	protein_coding
ORM1	protein_coding
OSBP2	protein_coding
OXR1	protein_coding
PAPOLA	protein_coding
PCMT1	protein_coding
PCNP	protein_coding
PFDN5	protein_coding
PIGY	protein_coding
PJA2	protein_coding
POLR2A	protein_coding
PPP1CC	protein_coding
PPP1R2	protein_coding
PPP2R1A	protein_coding
PRF1	protein_coding
PROK2	protein_coding
PSMA4	protein_coding
PSMA6	protein_coding
PTEN	protein_coding
RAB10	protein_coding
RAB8B	protein_coding
RAP2A	protein_coding
RB1CC1	protein_coding
RBM12B	protein_coding
RBX1	protein_coding
RCOR3	protein_coding
REEP5	protein_coding
RGS18	protein_coding
RNASE2	protein_coding
RNF10	protein_coding
RNF213	protein_coding
RPL15	protein_coding
RPL17	protein_coding
RPL21	protein_coding
RPL23	protein_coding
RPL26	protein_coding
RPL27	protein_coding
RPL30	protein_coding
RPL31	protein_coding
RPL35A	protein_coding
RPL39	protein_coding
RPL7	protein_coding
RPL9	protein_coding
RPS15A	protein_coding
RPS17	protein_coding
RPS18	protein_coding
RPS27	protein_coding
RPS3A	protein_coding
RPS4Y1	protein_coding
RPS9	protein_coding
RSBN1	protein_coding
S100A12	protein_coding
S100A8	protein_coding
S100P	protein_coding
SLC35A1	protein_coding
SLC38A2	protein_coding
SLPI	protein_coding
SMOX	protein_coding
SNHG5	lncRNA
SNRPG	protein_coding
SPOCK2	protein_coding
SPRYD3	protein_coding
SPTAN1	protein_coding
SSR1	protein_coding
SUZ12	protein_coding
TAX1BP1	protein_coding
TMCO1	protein_coding
TMED5	protein_coding
TMED7	protein_coding
TMEM123	protein_coding
TMEM126B	protein_coding
TMEM158	protein_coding
TMEM71	protein_coding
TNS1	protein_coding
TOMM7	protein_coding
TPT1	protein_coding
TRAM1	protein_coding
TXN	protein_coding
UBL3	protein_coding
UCP2	protein_coding
UQCRQ	protein_coding
USP15	protein_coding
VAMP7	protein_coding
VBP1	protein_coding
VCAN	protein_coding
VPS29	protein_coding
VPS4B	protein_coding
VWCE	protein_coding
WDFY1	protein_coding
XIST	lncRNA
YPEL5	protein_coding
ZBED5	protein_coding
ZMPSTE24	protein_coding
ZNF281	protein_coding
ZNF683	protein_coding
