GeneSymbol	RefSeq
ABCA1	NM_005502
ACRBP	NM_032489
ACTN4	NM_004924
ACTN4	NM_001411143
ACTN4	NM_001322033
ANKRD12	NM_015208
ANKRD12	NM_001083625
ANKRD12	NM_001204056
ANXA1	NM_000700
AP1S2	NM_001272071
AP1S2	NM_003916
AP1S2	NM_001369007
AP1S2	NM_001368994
AP1S2	NM_001369008
ARG1	NM_001244438
ARG1	NM_000045
ARG1	NM_001369020
ARGLU1	NM_018011
ARHGDIA	NM_001185077
ARHGDIA	NM_004309
ARHGDIA	NM_001301243
ARHGDIA	NM_001185078
ARHGDIA	NM_001301240
ARHGDIA	NM_001301241
ARHGDIA	NM_001301242
ASNSD1	NM_019048
ASNSD1	NM_001353497
ATP6V1G1	NM_004888
BAZ2B	NM_001329857
BAZ2B	NM_013450
BAZ2B	NM_001289975
BAZ2B	NM_001329858
BNIP2	NM_001368060
BNIP2	NM_001368059
BNIP2	NM_001368061
BNIP2	NM_004330
BNIP2	NM_001368058
BNIP2	NM_001368057
BNIP2	NM_001320674
BNIP2	NM_001320675
BTAF1	NM_003972
C15orf39	NM_015492
CAB39	NM_016289
CAB39	NM_001130850
CAB39	NM_001130849
CAMP	NM_004345
CAPZA2	NM_006136
CARM1	NM_199141
CARM1	NM_001370088
CARM1	NM_001370089
CD3E	NM_000733
CD48	NM_001778
CD48	NM_001256030
CD52	NM_001803
CD74	NM_001025159
CD74	NM_001025158
CD74	NM_001364084
CD74	NM_001364083
CD74	NM_004355
CDKN1C	NM_001362475
CDKN1C	NM_001362474
CDKN1C	NM_000076
CDKN1C	NM_001122631
CDKN1C	NM_001122630
CEACAM8	NM_001816
CHD9	NM_001308319
CHD9	NM_025134
CHD9	NM_001352127
CHD9	NM_001352158
CHD9	NM_001382353
CHD9	NM_001382355
CHD9	NM_001352156
CHD9	NM_001352157
CHD9	NM_001382354
CHURC1	NM_145165
CHURC1	NM_001204064
CHURC1	NM_001386928
CLDND1	NM_019895
CLDND1	NM_001040183
CLDND1	NM_001040181
CLDND1	NM_001040199
CLDND1	NM_001040182
CLDND1	NM_001040200
CLIC3	NM_004669
CMPK1	NM_016308
CMPK1	NM_001136140
CMPK1	NM_001366135
CMTM6	NM_017801
CNIH4	NM_001277197
CNIH4	NM_014184
CNIH4	NM_001277198
CNIH4	NM_001277199
CNIH4	NM_001277200
COMMD3	NM_012071
COMMD6	NM_203495
COMMD6	NM_001287394
COMMD6	NM_001287393
COMMD6	NM_001287392
COMMD6	NM_203497
COX7A2	NM_001366292
COX7A2	NM_001865
COX7A2	NM_001366293
COX7B	NM_001866
COX7C	NM_001867
CPD	NM_001304
CPD	NM_001199775
CRBN	NM_016302
CRBN	NM_001173482
CTSW	NM_001335
CX3CR1	NM_001171172
CX3CR1	NM_001171171
CX3CR1	NM_001171174
CX3CR1	NM_001337
CYB5R4	NM_001400774
CYB5R4	NM_016230
CYP1B1	NM_000104
DCP2	NM_001242377
DCP2	NM_152624
DEFA1	NM_004084
DEFA3	NM_005217
DEFA4	NM_001925
DEK	NM_003472
DEK	NM_001134709
DOCK11	NM_144658
DPYSL5	NM_001253724
DPYSL5	NM_001253723
DPYSL5	NM_020134
EFR3A	NM_001323558
EFR3A	NM_015137
EFR3A	NM_001323555
EFR3A	NM_001323554
EFR3A	NM_001323553
EFR3A	NM_001323557
EFR3A	NM_001323556
EIF1AY	NM_004681
EIF1AY	NM_001278612
EVI2A	NM_014210
EVI2A	NM_001003927
FAU	NM_001997
FEM1C	NM_020177
FKBP8	NM_001308373
FKBP8	NM_012181
FOXN2	NM_001375781
FOXN2	NM_001375443
FOXN2	NM_001375442
FOXN2	NM_001375452
FOXN2	NM_001375451
FOXN2	NM_001375449
FOXN2	NM_001375450
FOXN2	NM_001375448
FOXN2	NM_001375447
FOXN2	NM_001375446
FOXN2	NM_001375445
FOXN2	NM_002158
FOXN2	NM_001375444
GLRX	NM_001118890
GLRX	NM_001243659
GLRX	NM_001243658
GLRX	NM_002064
GMFB	NM_004124
GNG10	NM_001017998
GNG10	NM_001198664
GP9	NM_000174
GRINA	NM_001009184
GRINA	NM_000837
GZMH	NM_001270780
GZMH	NM_033423
GZMH	NM_001270781
HDC	NM_002112
HDC	NM_001306146
HINT1	NM_005340
IFNGR1	NM_000416
IFNGR1	NM_001363526
IFNGR1	NM_001363527
ITGA2B	NM_000419
ITGAL	NM_001114380
ITGAL	NM_002209
KIR3DL2	NM_006737
KIR3DL2	NM_001242867
LEPROTL1	NM_015344
LEPROTL1	NM_001128208
LMBRD1	NM_018368
LMBRD1	NM_001367272
LMBRD1	NM_001367271
LMBRD1	NM_001363722
LRRN3	NM_001099658
LRRN3	NM_018334
LRRN3	NM_001099660
LSM3	NM_014463
LY6E	NM_002346
LY6E	NM_001127213
LY96	NM_015364
LY96	NM_001195797
LYPD2	NM_205545
MAP1S	NM_018174
MAP1S	NM_001308363
MAP3K1	NM_005921
MED25	NM_030973
MED25	NM_001378355
NDUFA4	NM_002489
NDUFB2	NM_004546
NDUFB3	NM_002491
NDUFB3	NM_001257102
NDUFS4	NM_002495
NDUFS4	NM_001318051
NKG7	NM_001363693
NKG7	NM_005601
NRGN	NM_001126181
NRGN	NM_006176
ORM1	NM_000607
OSBP2	NM_001282738
OSBP2	NM_030758
OSBP2	NM_001282739
OSBP2	NM_001282740
OSBP2	NM_001282741
OSBP2	NM_001282742
OXR1	NM_001198533
OXR1	NM_018002
OXR1	NM_001198532
OXR1	NM_181354
OXR1	NM_001198535
OXR1	NM_001198534
PAPOLA	NM_001293627
PAPOLA	NM_032632
PAPOLA	NM_001293632
PAPOLA	NM_001293628
PAPOLA	NM_001252006
PAPOLA	NM_001252007
PAPOLA	NM_001363662
PAPOLA	NM_001363665
PAPOLA	NM_001363664
PAPOLA	NM_001363666
PCMT1	NM_001252053
PCMT1	NM_001252051
PCMT1	NM_001252050
PCMT1	NM_001252052
PCMT1	NM_001252049
PCMT1	NM_001360456
PCMT1	NM_005389
PCMT1	NM_001360452
PCNP	NM_001320399
PCNP	NM_001320395
PCNP	NM_001320398
PCNP	NM_001320401
PCNP	NM_001320397
PCNP	NM_020357
PFDN5	NM_145897
PFDN5	NM_002624
PIGY	NM_001042616
PJA2	NM_014819
POLR2A	NM_000937
PPP1CC	NM_002710
PPP1CC	NM_001244974
PPP1R2	NM_006241
PPP1R2	NM_001291504
PPP1R2	NM_001316325
PPP1R2	NM_001291505
PPP2R1A	NM_014225
PPP2R1A	NM_001363656
PRF1	NM_005041
PRF1	NM_001083116
PROK2	NM_021935
PROK2	NM_001126128
PSMA4	NM_001330675
PSMA4	NM_002789
PSMA4	NM_001330676
PSMA4	NM_001102667
PSMA4	NM_001102668
PSMA4	NM_001330673
PSMA6	NM_001282234
PSMA6	NM_001282233
PSMA6	NM_002791
PSMA6	NM_001282232
PTEN	NM_001304717
PTEN	NM_001304718
PTEN	NM_000314
RAB10	NM_016131
RAB8B	NM_016530
RAP2A	NM_021033
RB1CC1	NM_014781
RB1CC1	NM_001083617
RBM12B	NM_001377964
RBM12B	NM_001377963
RBM12B	NM_001377962
RBM12B	NM_001377960
RBM12B	NM_001377961
RBM12B	NM_203390
RBX1	NM_014248
RCOR3	NM_001136224
RCOR3	NM_001136225
RCOR3	NM_001350069
RCOR3	NM_001136223
RCOR3	NM_001350070
RCOR3	NM_018254
REEP5	NM_005669
RGS18	NM_130782
RNASE2	NM_002934
RNF10	NM_014868
RNF10	NM_001330474
RNF213	NM_001256071
RNF213	NM_020914
RNF213	NM_001410195
RNF213	NM_020954
RPL15	NM_001253379
RPL15	NM_002948
RPL15	NM_001253380
RPL15	NM_001253382
RPL15	NM_001253383
RPL15	NM_001253384
RPL17	NM_001369556
RPL17	NM_001199340
RPL17	NM_001199343
RPL17	NM_001199342
RPL17	NM_001199344
RPL17	NM_001199341
RPL17	NM_001369563
RPL17	NM_001199345
RPL17	NM_001369562
RPL17	NM_001035006
RPL17	NM_001369555
RPL17	NM_001369558
RPL17	NM_000985
RPL17	NM_001369557
RPL17	NM_001369560
RPL17	NM_001369561
RPL21	NM_000982
RPL23	NM_000978
RPL26	NM_000987
RPL26	NM_001315530
RPL26	NM_001315531
RPL27	NM_001349921
RPL27	NM_000988
RPL27	NM_001349922
RPL30	NM_000989
RPL31	NM_000993
RPL31	NM_001098577
RPL31	NM_001099693
RPL35A	NM_001316311
RPL35A	NM_000996
RPL39	NM_001000
RPL7	NM_000971
RPL7	NM_001363737
RPL9	NM_000661
RPL9	NM_001024921
RPS15A	NM_001030009
RPS15A	NM_001019
RPS17	NM_001021
RPS18	NM_022551
RPS27	NM_001349947
RPS27	NM_001349946
RPS27	NM_001030
RPS3A	NM_001006
RPS3A	NM_001267699
RPS4Y1	NM_001008
RPS9	NM_001321702
RPS9	NM_001321701
RPS9	NM_001013
RPS9	NM_001321706
RPS9	NM_001321705
RPS9	NM_001321704
RSBN1	NM_018364
S100A12	NM_005621
S100A8	NM_001319198
S100A8	NM_001319201
S100A8	NM_001319197
S100A8	NM_001319196
S100A8	NM_002964
S100P	NM_005980
SLC35A1	NM_001168398
SLC35A1	NM_006416
SLC38A2	NM_018976
SLC38A2	NM_001307936
SLPI	NM_003064
SMOX	NM_001270691
SMOX	NM_175842
SMOX	NM_175840
SMOX	NM_175839
SMOX	NM_175841
SNRPG	NM_001317171
SNRPG	NM_001317166
SNRPG	NM_003096
SNRPG	NM_001317168
SNRPG	NM_001317169
SNRPG	NM_001317167
SNRPG	NM_001317165
SPOCK2	NM_001244950
SPOCK2	NM_014767
SPOCK2	NM_001134434
SPRYD3	NM_032840
SPTAN1	NM_003127
SPTAN1	NM_001375314
SPTAN1	NM_001363765
SPTAN1	NM_001130438
SPTAN1	NM_001375313
SPTAN1	NM_001363759
SPTAN1	NM_001375310
SPTAN1	NM_001195532
SPTAN1	NM_001375318
SPTAN1	NM_001375312
SPTAN1	NM_001375311
SSR1	NM_003144
SSR1	NM_001292008
SUZ12	NM_015355
SUZ12	NM_001321207
TAX1BP1	NM_001079864
TAX1BP1	NM_006024
TAX1BP1	NM_001362794
TAX1BP1	NM_001362795
TAX1BP1	NM_001206902
TAX1BP1	NM_001206901
TMCO1	NM_001256165
TMCO1	NM_001256164
TMCO1	NM_019026
TMED5	NM_016040
TMED5	NM_001410825
TMED5	NM_001167830
TMED7	NM_181836
TMEM123	NM_052932
TMEM126B	NM_001193537
TMEM126B	NM_001256546
TMEM126B	NM_001193538
TMEM126B	NM_018480
TMEM126B	NM_001350396
TMEM126B	NM_001350394
TMEM126B	NM_001256547
TMEM126B	NM_001350393
TMEM158	NM_015444
TMEM71	NM_001382396
TMEM71	NM_001382397
TMEM71	NM_001364885
TMEM71	NM_001382403
TMEM71	NM_001382401
TMEM71	NM_001382400
TMEM71	NM_001382399
TMEM71	NM_001382405
TMEM71	NM_001382404
TMEM71	NM_001382402
TMEM71	NM_001382398
TMEM71	NM_144649
TMEM71	NM_001145153
TNS1	NM_022648
TNS1	NM_001387777
TNS1	NM_001308023
TNS1	NM_001308022
TOMM7	NM_019059
TPT1	NM_003295
TPT1	NM_001286272
TPT1	NM_001286273
TRAM1	NM_001317805
TRAM1	NM_001317804
TRAM1	NM_014294
TXN	NM_003329
TXN	NM_001244938
UBL3	NM_007106
UCP2	NM_001381945
UCP2	NM_001381944
UCP2	NM_001381948
UCP2	NM_001381950
UCP2	NM_001381949
UCP2	NM_003355
UCP2	NM_001381947
UCP2	NM_001381943
UQCRQ	NM_014402
USP15	NM_001351165
USP15	NM_001351166
USP15	NM_001351163
USP15	NM_001351164
USP15	NM_006313
USP15	NM_001351160
USP15	NM_001351159
USP15	NM_001252078
USP15	NM_001252079
USP15	NM_001351162
USP15	NM_001351161
VAMP7	NM_005638
VAMP7	NM_001185183
VAMP7	NM_001145149
VBP1	NM_001303544
VBP1	NM_001303543
VBP1	NM_001303545
VBP1	NM_003372
VCAN	NM_004385
VCAN	NM_001126336
VCAN	NM_001164098
VCAN	NM_001164097
VPS29	NM_001282151
VPS29	NM_016226
VPS29	NM_057180
VPS29	NM_001282150
VPS4B	NM_004869
VWCE	NM_152718
WDFY1	NM_020830
YPEL5	NM_001127400
YPEL5	NM_001127401
YPEL5	NM_016061
YPEL5	NM_001127399
ZBED5	NM_001143667
ZBED5	NM_021211
ZMPSTE24	NM_005857
ZNF281	NM_012482
ZNF281	NM_001281293
ZNF281	NM_001281294
ZNF683	NM_173574
ZNF683	NM_001114759
ZNF683	NM_001307925
