Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
Aase Smith syndrome 2	6/20	2.58721213900393e-08	5.84192500987088e-05	6	0.3	RPS17;RPS27;RPL35A;RPL27;RPL15;RPL26
Abnormality of the genital system	6/24	8.7002921139856e-08	6.54841986445983e-05	6	0.25	RPS17;RPS27;RPL35A;RPL27;RPL15;RPL26
Abnormality of the reproductive system	6/24	8.7002921139856e-08	6.54841986445983e-05	6	0.25	RPS17;RPS27;RPL35A;RPL27;RPL15;RPL26
Abnormality of the urinary system	6/34	8.0232680440795e-07	0.000452913481088288	6	0.176470588235294	RPS17;RPS27;RPL35A;RPL27;RPL15;RPL26
Anemia, Macrocytic	6/41	2.53605665686136e-06	0.00114528318623859	6	0.146341463414634	RPS17;RPS27;RPL35A;RPL27;RPL15;RPL26
Delayed Puberty	9/130	4.85355513953483e-06	0.00161687429911026	9	0.0692307692307692	RPS17;RPS27;VAMP7;MAP3K1;PROK2;RPL35A;RPL27;RPL26;RPL15
Anemia, Diamond-Blackfan	7/70	5.01245354020009e-06	0.00161687429911026	7	0.1	RPS17;RPS27;RPL31;RPL35A;RPL27;RPL26;RPL15
Hand deformities	6/47	5.77210651217313e-06	0.00162917706306086	6	0.127659574468085	RPS17;RPS27;RPL35A;RPL27;RPL15;RPL26
Pallor	6/57	1.80074736034813e-05	0.00451787504407342	6	0.105263157894737	RPS17;RPS27;RPL35A;RPL27;RPL26;RPL15
Abnormal heart beat	7/100	5.24731742453378e-05	0.0107187710350532	7	0.07	RPS17;COX7B;RPS27;RPL35A;RPL27;RPL26;RPL15
ECG abnormality	7/100	5.24731742453378e-05	0.0107187710350532	7	0.07	RPS17;COX7B;RPS27;RPL35A;RPL27;RPL26;RPL15
Cardiac conduction abnormality	7/102	5.95624343458883e-05	0.0107187710350532	7	0.0686274509803922	RPS17;COX7B;RPS27;RPL35A;RPL27;RPL26;RPL15
Electrocardiogram abnormal	7/103	6.33901099889083e-05	0.0107187710350532	7	0.0679611650485437	RPS17;COX7B;RPS27;RPL35A;RPL27;RPL26;RPL15
Electrocardiographic changes	7/104	6.74165561470708e-05	0.0107187710350532	7	0.0673076923076923	RPS17;COX7B;RPS27;RPL35A;RPL27;RPL26;RPL15
Fetal Diseases	3/9	7.12052991699727e-05	0.0107187710350532	3	0.333333333333333	DEFA3;DEFA1;S100A8
Progressive macrocephaly	4/25	9.07188356935981e-05	0.012802695687259	4	0.16	NDUFB3;NDUFS4;PTEN;TMEM126B
Cytopenia	9/206	0.000181559149936643	0.0241153270915846	9	0.0436893203883495	RPS17;RPS27;RPL31;PTEN;RPL35A;RPL27;RPL26;RPL15;RPL9
Congenital anemia	9/208	0.000195156748377625	0.0244813298798154	9	0.0432692307692308	RPS17;RPS27;RPL31;PTEN;RPL35A;RPL27;RPL26;RPL15;RPL9
Reticulocytopenia	3/13	0.000235624850748359	0.0280021533152523	3	0.230769230769231	RPS17;RPL35A;RPL15
Radial club hand	5/59	0.000260699133487634	0.0294329321707539	5	0.0847457627118644	RPS17;PTEN;RPL35A;RPL26;RPL15
Cardiac Arrhythmia	7/132	0.00029824295259247	0.0320682184263713	7	0.053030303030303	RPS17;COX7B;RPS27;RPL35A;RPL27;RPL26;RPL15
Intermittent migraine headaches	6/95	0.000318559065574575	0.0326957440939723	6	0.0631578947368421	RPS17;RPS27;RPL35A;RPL27;RPL26;RPL15
Decreased testosterone in males	4/36	0.000388840804657645	0.0381740233442157	4	0.111111111111111	MAP3K1;VAMP7;PROK2;ZMPSTE24
Restenosis	8/215	0.00118202182646237	0.10749445915413	8	0.0372093023255814	TRAM1;VCAN;ANXA1;IFNGR1;PTEN;S100A12;TMED7;S100A8
Acute necrotizing encephalopathy	3/22	0.00119015123067017	0.10749445915413	3	0.136363636363636	NDUFB3;NDUFS4;TMEM126B
