genes	logFC	pval	pval_adj	direction
ABCA1	0.345049987506682	2.08694054133634e-06	6.88355738029409e-05	UP
ACRBP	-0.372245393830385	2.26559018758191e-07	1.38972343551461e-05	DOWN
ACTN4	-0.292762784375983	6.25126545304816e-09	1.15863439867496e-06	DOWN
ALS2CR13	0.301997918047562	9.62990423845208e-06	0.00020742458960528	UP
ANKRD12	0.290647951518867	0.000103906648944595	0.00133951123907721	UP
ANXA1	0.392237645990566	4.4231765803807e-08	4.62343671716522e-06	UP
AP1S2	0.445390077052673	3.21290021578936e-07	1.7561575846497e-05	UP
ARG1	0.370649190862225	3.13946536593697e-11	5.07404877393256e-08	UP
ARGLU1	0.54954473275629	3.35947380563148e-08	3.81983988944841e-06	UP
ARHGDIA	-0.312929914547956	4.09000912407479e-09	9.07300357357257e-07	DOWN
ASNSD1	0.398762289600825	1.45744052140487e-09	4.71107238254685e-07	UP
ATP5C1	0.410174879716195	1.25284311680581e-11	4.04972588628071e-08	UP
ATP5J	0.294870083212004	4.29331193866712e-10	2.20783566445957e-07	UP
ATP6V1G1	0.327333986351611	3.64281970441126e-08	4.04049418880949e-06	UP
BAZ2B	0.353484626714032	2.62526127914588e-06	8.03813084752826e-05	UP
BNIP2	0.309679818896814	9.74791643359627e-05	0.00127716331872022	UP
BTAF1	0.38197601245224	8.58549411539941e-08	7.08860812482161e-06	UP
C11orf46	0.309008981533214	3.14139690895246e-09	7.48214609040707e-07	UP
C14orf2	0.296171866725629	9.17124502897518e-10	3.52388190459851e-07	UP
C15orf15	0.676349486194182	2.39005152333168e-09	6.28833672307279e-07	UP
C15orf39	-0.332092071935142	4.06011510540101e-08	4.33340681556173e-06	DOWN
C16orf35	-0.288443760109015	5.66122739510258e-05	0.00083723262920906	DOWN
C17orf45	0.373430931833726	2.11318126685231e-07	1.31721632300461e-05	UP
C17orf61	0.356926502081368	9.9715302831024e-07	3.9583476441361e-05	UP
C19orf59	0.419515185492335	1.65990892175685e-06	5.7258046714177e-05	UP
C1orf119	0.302248696962657	2.78830940174169e-07	1.61358252770356e-05	UP
C1orf218	0.290493637693592	5.20527599196823e-09	1.05160517741308e-06	UP
C20orf55	-0.302364214331762	1.0569091773654e-11	3.9857806593745e-08	DOWN
C5orf29	0.373655948391116	7.3826349825733e-08	6.37583518132389e-06	UP
C8orf59	0.294689235943592	1.27725540632735e-07	9.20396754107291e-06	UP
CAB39	0.368210921029087	1.00005055294164e-05	0.000213363355788504	UP
CAMP	0.485897587931408	2.32594721689388e-05	0.000416699981604575	UP
CAPZA2	0.533987607901533	3.53688193862874e-08	3.96183305076003e-06	UP
CARM1	-0.316219775222486	4.99665398132512e-05	0.000757770037771069	DOWN
CCDC72	0.364438103545009	6.24418318826315e-06	0.000148566911672797	UP
CD3E	-0.443206812457547	7.08817922226687e-09	1.224307108872e-06	DOWN
CD48	0.380180499839033	2.99973852493506e-07	1.67592799021495e-05	UP
CD52	0.466959578705385	2.25264532118945e-06	7.23737906564649e-05	UP
CD74	-0.298552682794741	2.64999541123341e-10	1.7131841762851e-07	DOWN
CDKN1C	-0.30594813825688	3.00926191603084e-08	3.46032456825824e-06	DOWN
CEACAM8	0.337391685529481	8.3094512467171e-05	0.0011238371390285	UP
CHD9	0.290490140098466	1.03565747429926e-06	4.06837181787663e-05	UP
CHURC1	0.391516118550118	0.000244223224474197	0.00263019462169331	UP
CLDND1	0.355225381236734	3.23471130831599e-10	1.92610033613857e-07	UP
CLIC3	-0.309406592431603	3.74586188251738e-05	0.000609328661507697	DOWN
CMPK1	0.298293728184944	3.10202623682272e-06	8.92996789574907e-05	UP
CMTM6	0.338815508453028	2.61591836118221e-05	0.000455310651988231	UP
CNIH4	0.432635934059551	1.78765544545844e-11	4.49436441826535e-08	UP
COMMD3	0.307865870173742	1.14274290674921e-09	4.0658054348594e-07	UP
COMMD6	0.365087932230445	2.9880733384599e-09	7.34903645971001e-07	UP
COX7A2	0.391818976440645	1.90565423538929e-10	1.53997279943405e-07	UP
COX7B	0.356853429625197	1.66846469850362e-08	2.30197260567326e-06	UP
COX7C	0.675608398682783	8.3201273669429e-10	3.36177717735387e-07	UP
CPD	0.354283294079009	2.6508667433482e-06	8.09462372493114e-05	UP
CRBN	0.296161649690251	9.81781142024096e-09	1.54954500954216e-06	UP
CTSW	-0.347527130536752	3.73759691091006e-07	1.92811268908199e-05	DOWN
CX3CR1	-0.324608362128931	5.20870809902287e-08	5.03664265626455e-06	DOWN
CYB5R4	0.290070055453224	2.44080436051018e-06	7.63873862590096e-05	UP
CYP1B1	0.455894102527319	2.78510573293241e-10	1.75051631719616e-07	UP
DCP2	0.433056669904481	7.81781265831318e-07	3.30642330877855e-05	UP
DEFA1	0.527077174243514	0.00167115441898625	0.011857388221512	UP
DEFA3	0.57447428831191	0.00159579428981895	0.0114157563691854	UP
DEFA4	0.355524503996266	0.00764804299747233	0.0390020890024355	UP
DEK	0.399642092184749	1.5527399400009e-07	1.04255898270635e-05	UP
DOCK11	0.287396179518081	4.62262252707686e-05	0.000715431463202245	UP
DPYSL5	-0.301663575605739	0.00472747274208714	0.0269644347034418	DOWN
EDG8	-0.384082405574684	6.90597406455844e-08	6.1520265810537e-06	DOWN
EFR3A	0.404559550673547	1.4377760377011e-06	5.17210785454097e-05	UP
EIF1AY	0.471852091661754	1.88014336163581e-07	1.20857965465152e-05	UP
EPB49	-0.473851816862421	4.71366555037937e-05	0.000726045680111872	DOWN
EVI2A	0.311474322062631	2.34569936849186e-09	6.28833672307279e-07	UP
FAU	0.334348602920597	5.07917774768153e-07	2.39930177237558e-05	UP
FEM1C	0.364262202030659	3.99610552377203e-09	9.04198796863896e-07	UP
FKBP8	-0.305320900996069	7.47459913884244e-07	3.21535655350928e-05	DOWN
FOXN2	0.417579349815252	1.00332239706907e-06	3.97586267574114e-05	UP
GLRX	0.329671808872051	1.78704970023337e-09	5.39140980895739e-07	UP
GMFB	0.402352123038128	2.92698817568966e-09	7.2779078517945e-07	UP
GNG10	0.293591986096599	1.65207479407469e-05	0.000317330189860171	UP
GP9	-0.367144008213051	0.000227013713398264	0.00248988816920141	DOWN
GPR56	-0.315633465327634	8.83801000099997e-07	3.6114782484053e-05	DOWN
