	GSM943243	GSM943249	GSM943250	GSM943251	GSM943252	GSM943253	GSM943254	GSM943255	GSM943256	GSM943259	GSM943260	GSM943261	GSM943262	GSM943263	GSM943277	GSM943282	GSM943283	GSM943284	GSM943285	GSM943286	GSM943287	GSM943288	GSM943289	GSM943290	GSM943291	GSM943292	GSM943293	GSM943294	GSM943295	GSM943296	GSM943297	GSM943298	GSM943299	GSM943300	GSM943301	GSM943302	GSM943303	GSM943316	GSM943318	GSM943319	GSM943320	GSM943321	GSM943322	GSM943328	GSM943329	GSM943330	GSM943331	GSM943332	GSM943336	GSM943337	GSM943338	GSM943339	GSM943340	GSM943341	GSM943342	GSM943343	GSM943347	GSM943348	GSM943349	GSM943350	GSM943352	GSM943371	GSM943372	GSM943373	GSM943382	GSM943383	GSM943384	GSM943385	GSM943388	GSM943389	GSM943390	GSM943391	GSM943392	GSM943393	GSM943394	GSM943395	GSM943396	GSM943397	GSM943398	GSM943399	GSM943400	GSM943403	GSM943404	GSM943405	GSM943406	GSM943407	GSM943408	GSM943409	GSM943410	GSM943411	GSM943412	GSM943414	GSM943415	GSM943430	GSM943431	GSM943432	GSM943244	GSM943245	GSM943246	GSM943247	GSM943248	GSM943257	GSM943258	GSM943264	GSM943265	GSM943266	GSM943267	GSM943268	GSM943269	GSM943270	GSM943271	GSM943272	GSM943273	GSM943274	GSM943275	GSM943276	GSM943278	GSM943279	GSM943280	GSM943281	GSM943304	GSM943305	GSM943306	GSM943307	GSM943308	GSM943309	GSM943310	GSM943311	GSM943312	GSM943313	GSM943314	GSM943315	GSM943317	GSM943323	GSM943324	GSM943325	GSM943326	GSM943327	GSM943333	GSM943334	GSM943335	GSM943344	GSM943345	GSM943346	GSM943351	GSM943353	GSM943354	GSM943355	GSM943356	GSM943357	GSM943358	GSM943359	GSM943360	GSM943361	GSM943362	GSM943363	GSM943364	GSM943365	GSM943366	GSM943367	GSM943368	GSM943369	GSM943370	GSM943374	GSM943375	GSM943376	GSM943377	GSM943378	GSM943379	GSM943380	GSM943381	GSM943386	GSM943387	GSM943401	GSM943402	GSM943413	GSM943416	GSM943417	GSM943418	GSM943419	GSM943420	GSM943421	GSM943422	GSM943423	GSM943424	GSM943425	GSM943426	GSM943427	GSM943428	GSM943429	GSM943433	GSM943434	GSM943435	GSM943436	GSM943437	GSM943438	GSM943439	GSM943440	GSM943441	GSM943442	GSM943443	GSM943444
ABCA1	8.954390995	9.114054849	9.032570907	9.506710618	9.657377803	9.090950287	9.400507997	9.954460185	8.923802654	8.775931801	9.644971901	8.512066078	9.871472067	8.499180372	8.553310869	9.440944366	9.30281097	8.665273006	8.829947178	9.062719499	8.12893302	8.553180528	9.584721079	8.339263175	8.981448834	8.776625471	8.901665545	8.560597609	8.848993277	8.907150842	9.530662245	8.669391247	9.099982046	8.73880137	9.248742761	8.714004157	9.163923372	10.41970901	9.375303528	8.893162027	8.645032697	8.694670393	8.842617304	9.163745131	9.83070472	9.597103809	9.995029044	8.938507576	9.192831916	9.116157889	9.214904596	8.975712748	9.306385849	9.712190934	9.738552499	9.090177333	9.586726782	8.955021176	9.06011677	10.85732845	10.22191493	9.37947952	8.818060225	9.410923846	9.259420352	9.221876525	9.301714268	9.735857354	9.203718308	8.901233907	9.74331892	9.864422215	9.8112974	8.677088871	9.085170192	9.646129554	9.299391308	10.04260354	8.429617944	9.698083446	9.544423401	9.965614419	9.87701204	9.998924296	9.301613947	9.917276572	9.902093477	10.02365752	9.653036688	9.813321396	9.461922256	9.418499869	9.268488945	9.473418305	9.555616388	9.446049773	9.150390968	9.14783455	9.606187661	9.119407329	9.29311967	9.361597707	9.651258003	9.581957037	10.10860004	9.72220284	9.928947755	9.941455614	9.86001275	10.470223	9.295776072	9.281313988	9.437027221	9.701294289	9.726890553	9.640733056	9.11957828	10.5551717	10.17875918	9.273370596	9.563576742	9.464077716	10.11890691	10.17234483	9.536798858	10.3603638	10.00940945	8.966728053	10.2976109	10.06054964	9.53151563	9.374570325	9.207838473	9.517058397	11.31054927	9.112278942	8.798870897	8.64062629	9.982148117	9.574024343	9.865385652	8.719078774	8.773701024	9.084867642	9.723145559	9.909111364	10.0833014	9.915755992	10.25720251	10.16171068	9.93167916	8.923566225	9.927997273	9.160025448	8.804361926	9.625329693	9.178422024	9.20820904	10.1490685	9.87035366	9.335101129	9.290227345	10.07085128	9.471954541	9.558942468	9.362094672	9.196614576	10.11112046	10.30538189	10.3049262	9.45927095	9.915628401	10.28260943	8.447545549	9.478214103	9.626785384	9.769317095	9.53521747	9.820783879	9.801849712	9.590270795	9.133852214	10.15938842	9.925654272	10.20884672	9.462429988	9.716693547	9.006254541	10.06728162	9.734528125	9.768550555	8.851578183	9.618016756	10.21151974	10.21073411	8.445099025	9.153625741	9.928030315	8.672535175	9.95551253	10.01167374	9.513613982
ACRBP	9.834043861	9.892056523	9.760362875	9.266342713	9.918569737	8.581004541	9.762496562	9.982166266	10.17204281	9.928296535	9.416160406	9.73629825	9.476860356	9.811574039	9.628622729	9.485591404	10.03318374	9.167809767	9.639453399	10.3559748	9.871192011	9.969381723	9.733730679	9.73514725	9.328417094	9.702441207	10.12699805	9.577256781	10.01504844	9.967416279	10.20877391	10.23211359	10.10129924	9.384302478	9.870777985	10.29879718	10.20464665	8.714374546	9.583936861	9.2928333	8.682203768	9.339472345	9.307392783	8.781568783	9.228432693	8.316833075	9.534975284	9.055140112	9.339379394	9.440074853	9.698006685	10.29419428	9.441632855	9.593485541	9.677528668	9.44686449	9.595267921	9.378771447	9.564509723	8.928578809	9.632064685	9.938934898	9.234103425	9.767909441	9.821772086	9.65377373	9.18281237	9.570012231	9.698258596	8.650000068	9.920942746	10.58925557	9.380504744	9.934524988	9.846057465	8.559916033	9.265437747	9.766364611	10.1173427	10.22924563	9.776353912	9.829863848	9.460650587	8.999299169	9.65111161	8.934679832	8.645500418	9.447923439	9.216764217	8.771240144	9.804934935	9.816706424	9.573885397	9.657134198	9.547959551	9.929414172	9.907670825	9.438026863	9.139742791	8.946073129	9.25754028	9.409621961	8.725341153	9.423576906	9.141954753	9.485875444	9.00021136	8.688048442	8.356653639	9.258404126	9.718067502	9.55960813	9.94865847	9.675614944	8.608717753	9.911129654	9.326807449	9.346596744	9.504886771	9.857037735	8.352506449	10.62620798	8.764374312	9.367846786	8.429079363	9.473552391	8.942838168	9.377067227	8.942076294	8.395378725	9.189320675	9.59776411	9.747895112	8.880954308	8.273077518	8.905388277	8.369943681	9.163721647	9.408676115	9.917631432	8.903812598	8.903797263	8.409084829	9.608693144	9.48286942	9.145394004	8.4756235	9.265032043	9.177691156	8.220030521	9.057198555	9.610949522	8.843353142	10.08787183	9.668019825	9.036402123	9.446006896	9.00208735	8.644677182	9.089046741	9.553105857	9.38029097	8.970589167	9.536643429	8.581444714	9.109438037	8.350434661	8.818538216	8.881586046	8.63200796	10.01002011	10.50164345	9.969316432	10.17618955	10.4784898	8.735092075	9.730316683	9.044096996	9.772777071	8.92260602	8.912249519	8.747582702	8.918842044	8.502852935	9.237537334	10.26955885	8.465768071	10.17104947	9.147538568	9.396217323	9.088416988	9.137526548	9.060258519	9.363439198	9.653281841	8.384668909	9.446651224	9.532028406	8.371301124	9.349313422	8.931988423	9.55303434
ACTN4	9.477941671	9.405323589	9.421229884	9.050654907	9.674300573	9.184333087	9.621049348	9.513436225	9.636787111	9.074749836	9.459527922	9.397764821	9.034272716	9.494313783	9.286503052	9.611728192	9.935501766	9.448759039	9.573245181	9.433702218	9.386697586	10.300005	9.885272124	9.39188033	9.707315463	9.858072644	9.705473651	9.619704757	9.164719898	10.5978144	9.734783799	10.01740118	9.368313123	9.567266925	9.334957927	9.558722917	9.443180883	9.363455111	8.832201332	8.896639159	9.126083984	9.137006709	8.55806006	9.354384592	9.057879765	9.041111849	9.401579153	8.928830026	8.866910908	8.98842363	9.138669712	9.472885899	9.041104335	9.424358287	8.974096349	9.25089391	9.211425734	9.228608968	9.228697799	8.506041413	9.015158215	9.407158085	8.916547386	9.181506438	9.422076488	9.457771104	9.001874719	9.396073391	9.126755165	9.020002166	9.699096188	9.324751443	9.144036993	9.046379707	9.287161972	9.230089789	8.841187458	9.172167124	9.831938854	8.932131593	9.352977402	8.876703202	8.852266998	8.891906181	8.824181467	8.690737644	8.905849131	8.779425927	9.555167018	8.955095872	9.317447451	9.291181072	9.183599243	9.294634653	8.439922632	9.394722518	9.295862808	9.501610322	9.164987568	8.958138137	8.898997898	9.543475334	9.792367031	8.688881328	9.124610546	9.438158436	9.383070608	8.935115112	8.359009701	9.501033824	8.966463695	9.274616344	9.240185169	8.835454466	9.151411808	9.360823998	8.907960229	9.206677806	9.544028702	9.528985022	8.393152465	9.441777408	8.944895736	9.074815396	9.030751192	9.308504036	9.168357868	8.849217036	9.151031415	8.923342411	8.939310581	8.970979744	8.889811374	9.212843329	8.838201791	8.557667995	8.590570026	9.033916566	9.126521242	8.945911009	9.461949014	8.636272639	8.710095475	8.879605251	8.977154415	9.214212286	8.888713036	9.238422367	8.81806136	8.720799378	9.228236179	8.864542449	8.325362022	8.895466277	8.912688136	9.055858581	9.313548009	8.870300068	9.254458524	9.167425233	8.964969626	9.119938455	9.375724205	8.624960663	8.711036139	8.881120958	8.162410732	8.208565908	8.967623033	8.734104106	8.65180728	8.915259764	8.929102552	9.089159135	9.152292858	9.08315052	8.662638899	8.593150192	9.201016477	8.521694787	8.575274796	8.704019977	8.962984131	8.376300102	8.739648118	9.781530846	8.871534371	9.225960679	8.991134373	9.069199463	9.1400723	9.115888692	8.775062453	9.348665264	9.165040755	8.730689491	9.012820289	9.24004989	8.471952494	9.109748502	9.15836178	8.75155796
ALS2CR13	9.223471276	8.945052279	9.2465783	9.156167199	8.894544767	9.735717778	8.95952642	9.624540748	8.956609286	9.569244916	9.109134107	9.068927539	9.791515888	8.830406508	9.003660012	9.511726041	9.670669233	9.246444016	9.037280399	9.558583372	9.472711794	8.471613977	8.796823416	9.490541818	9.516105382	8.536410024	8.73699461	9.270897087	9.385562219	8.760636156	8.725134849	8.528866571	9.303826107	8.976269861	9.927691715	9.195737075	9.081552309	9.858808684	9.285617135	9.235357999	9.730779	8.779173647	9.387576814	10.00578746	9.776225624	9.689279435	9.934368549	9.939741555	9.531563636	9.486592734	9.0438681	8.820561678	8.992632659	9.363604675	9.919823257	9.173617612	9.071457223	9.713524736	9.493643105	9.677756806	10.10486177	9.354211457	9.942030877	8.717372071	8.978959466	8.969386246	9.608037964	9.376777069	8.970116719	9.820199761	9.330720946	8.847780879	9.463679547	9.524892637	9.561749015	10.15742015	10.42880359	9.89232153	8.72310249	9.085605662	9.730766532	9.714998645	9.67603436	9.290349302	10.02573602	9.400132066	10.13903422	9.782307408	9.511641929	10.02677931	9.325140899	9.898601063	9.95944539	8.470220447	9.709157534	9.372593634	9.480021536	9.42077071	10.09861429	9.897110379	9.481889782	9.174637175	9.969332415	11.13363064	10.2540496	9.063877739	9.028129484	10.32960149	11.14369759	9.149806767	9.291881424	9.404125753	9.262921439	9.707153565	10.22538724	9.457679342	10.23660086	10.00878201	9.293044426	9.340245901	10.71447604	8.371159201	10.09478865	9.516158735	9.423687062	9.573488434	9.563606238	9.664705373	9.706031321	9.898447861	9.75085712	9.342903591	9.398264282	9.595378599	10.06996371	9.658969324	10.3277281	9.836411486	9.547316491	9.740995773	9.44336877	10.27923211	9.902258072	9.086253815	9.330591622	9.703096014	9.959264367	9.904836001	9.884165523	10.22945556	9.915716644	9.331759721	10.6385193	9.195540208	9.058433344	9.420155581	9.763731242	10.0954161	9.823714225	9.13207537	9.567653594	10.19887284	9.95795574	9.603427665	9.820337583	9.669175017	11.1342352	10.20582155	9.578821994	9.592461396	9.814796732	9.788678887	9.216784487	9.180661443	9.124967879	9.722491033	9.78680767	10.12038303	10.0616302	10.02729403	10.22460527	9.886106939	10.17827168	10.22205333	9.333395164	8.772611417	10.26581007	8.997191303	9.189877124	9.092960142	9.591496626	9.64366649	9.527450543	9.481677762	8.848651639	9.425448643	9.312198732	8.938029363	10.33540949	9.103919084	8.890606547	8.713125749
ANKRD12	7.856386629	7.788913647	8.050763566	8.30270296	8.011607939	8.549989395	7.907264896	8.036683416	7.736888576	8.104331046	8.358471451	7.857798625	9.134807611	7.965411702	7.813705892	8.457065198	7.944539673	8.366751384	8.509422324	8.307617432	8.155577344	7.533499408	8.34428545	8.250361121	8.232529006	7.638461395	7.542854541	7.794767619	8.034594994	7.881257661	7.795656248	7.589655076	7.958364157	7.928160422	8.522206121	8.06539334	7.789303439	8.936643699	8.108233888	8.447507331	8.707189248	7.757246949	8.542793572	8.640352457	8.416421365	8.559326663	8.82966216	8.760989845	8.496285715	8.007850329	7.734700415	7.641400179	7.631181682	8.594071952	8.435477028	7.849926603	8.128116056	8.522797243	8.462490236	8.98709931	9.203434248	8.393370324	8.373998021	7.757080895	8.154425693	7.968359672	8.236410421	8.336039652	7.73158259	8.735133878	7.782152529	7.744724066	8.29908954	8.029986812	8.195324731	9.508076017	9.434746137	9.085392084	7.652456137	8.079729058	8.044396981	9.090909699	9.091343061	9.190940533	8.703265857	8.874617425	9.193417804	9.095249052	8.276683936	9.372660249	7.939191559	8.480159375	8.531946441	7.580125067	9.042606348	8.130375895	8.128580807	8.041015091	8.807357634	8.751070491	8.106671077	8.021471314	8.209254653	8.755653239	8.857515825	7.744875849	8.197647037	8.507043776	9.745692192	7.910172571	7.940218395	7.997966549	8.185336501	8.739022104	9.262980653	8.06679431	8.887057798	8.697111106	8.37588426	7.84738051	9.39473502	7.490584229	8.6642393	8.608467228	8.619389823	8.637410705	8.585442476	8.482001748	9.058134265	9.037289011	8.627464379	8.731065433	8.357408152	8.177991171	9.369130487	9.076986883	8.556010595	8.188933738	8.448130313	8.549227128	9.02459741	9.014478947	9.27405868	8.277569324	8.370595104	8.91836166	9.070490595	8.861911629	9.080600726	9.784455586	9.240984586	7.88515633	10.02242562	7.744984604	8.02401059	8.416647635	8.367331397	8.671411091	8.820334547	7.954969762	8.039662287	8.72268239	8.927601732	8.254964892	9.06326547	8.651978069	10.1787923	9.382471506	8.726744436	8.92081805	8.381687139	8.472553014	7.920376557	7.784287098	8.241099567	8.883857191	8.873770747	9.58611848	9.035595854	9.485688347	9.300003972	9.009566622	8.413007658	9.54053547	8.167012857	7.659439234	8.939945331	7.790036176	8.227889382	7.924533825	8.707987871	8.77087971	8.238298971	8.536018532	8.064037986	8.418100585	7.880970112	7.722316942	9.087868847	8.315758826	7.919834096	7.907401207
ANXA1	11.74020925	11.21348915	11.28952868	11.15567501	11.66957891	10.98975219	11.4899905	11.28506845	10.78616975	11.35535418	10.86381316	11.09744624	11.41276459	11.12016071	10.88999172	10.89670763	10.48604728	11.15448645	11.04460392	10.17407835	10.44240257	10.50198133	10.99341996	11.38639704	11.18209003	10.94690434	10.8746099	11.15413888	11.12348431	10.47381418	10.91882686	11.07579726	10.68118093	11.49406154	10.83886049	10.38582404	10.78914354	11.10305415	11.07941252	10.42185132	10.58085635	10.79647131	10.88890116	10.87379555	10.45529997	10.97544716	10.33756998	10.62514956	10.4083458	10.33803698	10.40070048	10.46629039	10.81714774	10.95508366	11.02479045	10.16866989	10.35496536	10.70601264	10.34564345	11.17826783	10.85271089	10.38371093	11.02638546	11.36837103	10.5971372	11.66072243	11.42879083	10.9646002	10.98588449	12.1097724	10.95819572	11.20474146	11.39109594	11.24544948	11.47896387	11.54595085	11.10830535	11.13435322	10.91230927	11.27340844	11.63216724	10.7999625	10.98363279	11.45465417	11.41242965	11.23925382	10.97656588	10.72904151	10.74066242	11.36941641	11.80317103	10.39475354	10.733817	10.94033434	12.00448332	10.87018246	11.33442838	11.11970288	11.47957148	11.90171097	11.44760716	10.84289933	11.03251583	12.36026141	12.36492341	11.69021495	11.786375	11.84336027	13.03988373	11.2167221	11.29870219	11.62923436	11.26765832	11.52068395	11.86778342	11.56441297	11.8754072	11.86487169	11.51080379	11.00210786	11.97418683	10.09923724	11.90499581	11.25894645	11.30144413	11.00956522	11.03926941	11.44589181	11.47650639	11.73005545	11.4663227	11.24034923	10.74486262	10.48788709	12.33307123	11.5715638	11.66781307	10.56830388	11.23139273	10.6316541	10.28975779	11.61157459	11.61562881	11.11884654	11.04761655	10.36040873	11.62964435	11.26058309	10.86748407	11.70198151	11.01756082	11.0009346	11.71725894	10.7345516	10.73113111	11.44632374	11.92260964	11.22286735	10.96174926	11.83266436	11.65397633	11.02869981	11.08512494	11.89500873	12.21410089	11.78842857	12.74532574	11.83950773	11.59063526	11.98976683	12.3331077	11.22759911	10.81487841	10.37924432	10.23556461	11.25889441	11.76845151	12.48781896	11.44781661	12.01004229	12.12056803	11.59271648	11.5652741	12.24216077	11.42169526	11.02341834	11.6652427	10.7236919	10.67961044	10.86765904	10.80838489	10.83330711	10.85048181	10.39704547	11.09477603	11.74742229	10.88101052	11.17343162	11.46202916	10.8383337	10.8846563	11.00176
AP1S2	9.667887965	9.673175122	10.558943765	10.39527399	10.11042954	10.40769191	10.0362925635	10.311985835	9.4257255715	10.36311052	10.098527935	10.171444425	10.929638455	9.284756548	9.3880032275	10.032417395	9.708039676	10.14043868	10.422887855	9.592190301	9.369657043	9.239486199	9.9948542905	10.05482501	9.9619189785	9.4952655965	9.580194959	10.0061860595	10.328605115	9.2629337635	9.447419946	9.204600936	9.6498891975	10.076775585	10.221555985	9.868334758	9.1841357005	10.98032008	9.932655604	10.49091225	10.442861725	9.977368332	10.949102775	10.433613565	10.16930183	10.462923665	10.567725245	11.03276562	10.357427105	10.31892163	9.9214459195	9.5953208315	9.471126861	10.28609365	10.106075165	10.129585915	10.61475099	10.312628775	10.20035428	11.35319142	11.47347816	9.638160958	10.548681615	10.0844520545	10.45394717	10.21772101	10.389847695	10.0458020045	9.747817575	10.74654353	9.788449577	10.26580569	10.834065265	10.216040125	10.69456906	11.369703545	10.590287455	11.03035433	9.329285947	10.70872982	10.52711115	10.85009717	11.036672135	11.071592715	11.053097155	11.53432727	11.03475883	11.385426975	10.354108235	11.08564915	10.64426649	10.39386166	10.459976065	9.378310472	11.35146071	10.145910705	10.48769937	10.012072257	10.656219595	10.618016665	10.51985667	10.28108256	10.360364195	11.496116935	10.957553785	9.6583245225	10.519795	10.72759646	11.9714458	10.44277925	10.171574985	10.220863255	10.15813812	11.030890365	11.358622235	9.941878767	10.924038935	10.8026125	10.400727655	9.7029515635	11.604493735	9.1736318055	11.091838635	10.67286621	10.65308075	10.713672295	10.43456359	10.819979745	10.79178684	10.94767652	11.18807804	10.454582715	10.63638082	10.094350792	12.10906195	11.27335146	11.243154445	10.3101585	10.48097966	10.66338582	10.82540153	11.769831755	11.770833995	10.28298157	11.077600445	10.73217735	11.62605823	11.052475075	11.23833388	11.62192752	11.02563944	10.354193605	11.410574865	9.9773506975	9.844148896	10.30863446	10.24807128	10.85836886	10.279823145	9.7207653185	10.69845962	10.19588154	10.726590895	10.305535135	11.354360105	10.6773073	11.55203942	11.347516905	10.43309634	11.15173157	10.856743355	10.460129865	10.49539975	9.493512042	9.618551883	11.08238759	11.43953209	11.87597909	10.894918655	11.55817465	11.475143605	11.34455866	10.552932925	12.152921795	10.26710623	9.669579774	11.32226739	10.027454273	9.8341489175	9.476039536	10.43406869	10.412377655	10.507354105	10.72828108	10.279810085	10.986134335	9.891539906	10.2632477	11.43837656	11.01626515	10.391795325	10.49723783
ARG1	7.437352856	7.647979887	7.623355481	7.948280845	8.231924599	7.90905589	8.205982427	8.405820488	7.890727404	7.489938519	7.908904664	7.665759442	7.823581757	7.284622593	7.648214945	7.91318923	7.666452466	7.610524674	7.665791836	7.805234351	7.495983693	7.713923722	7.694317768	7.766343479	7.856923726	7.488055368	7.635624691	7.496082129	7.571320539	7.459318254	7.700428223	7.752217591	7.586950154	7.599312655	7.766387386	7.425175388	7.648258631	7.688105251	7.646177383	7.594905302	7.757224228	7.732060046	7.583335521	7.621298831	7.49254799	7.816087514	8.7306215	7.518675353	7.44505004	7.730047585	7.583318508	7.589677802	7.500649883	8.384467328	7.775598488	7.517309219	8.214993797	7.528255763	7.65334994	8.013388804	7.672057721	7.668211266	7.741617244	7.633339616	7.710569639	7.766239503	7.832117901	8.000483401	8.040913618	7.584651	7.514188709	7.922491687	8.027607868	7.625942162	8.115273848	7.805712142	7.80625777	7.702395105	7.575545534	7.704951294	7.73320359	8.223546338	7.613165584	7.640513036	7.952162932	7.82435515	7.679911941	8.048208852	7.521301271	7.776556918	7.578975342	7.662301676	7.792222393	7.800086755	8.042737971	7.804728237	8.108810272	8.609161475	7.764085756	7.543671839	8.062219208	7.735197797	7.582472221	7.557162062	8.729474764	8.57217169	9.09405608	7.822103791	8.254710404	8.574463889	7.988388964	8.452762062	7.748186042	8.327498758	8.216921811	7.991286365	8.822443507	7.729907322	7.585680399	7.978528695	7.899109082	7.690309187	8.230509195	7.640968046	8.404438435	7.913926993	7.670964249	7.857980684	9.261535125	7.805478441	7.830667588	8.33242212	8.069360452	7.605466669	9.098234147	7.974566664	8.0738004	7.51402739	7.906965091	7.706262958	8.155580926	7.635311244	8.467974805	8.409297921	8.163454258	8.15345038	7.965743112	8.443550302	7.978464891	8.209691918	7.535638102	7.429874914	8.272419694	7.620266837	7.670164352	7.937998427	8.24182076	7.695658028	8.874427383	7.697504497	7.576330543	7.649461496	8.026399761	8.259584234	8.534496278	8.620526691	8.099689691	8.024046453	8.403467322	8.156640245	9.088935844	8.008333077	7.449071811	7.693003831	8.418462322	8.110420552	8.443918069	8.204809849	7.67896099	8.491906456	7.998861185	7.602273541	7.743479775	8.729922237	7.589738023	8.324336265	8.110609595	7.807527463	8.587467981	7.986136556	7.815213752	7.754701714	8.11825135	8.668208834	8.831313083	7.506532566	7.950851988	9.780736834	7.877514602	8.456992118	8.689744375	9.693147968
ARGLU1	9.709967386	9.662593588	9.931055063	10.08407169	9.718350875	10.67496563	10.13296844	10.19787983	9.487561954	9.766954304	9.76707756	9.373891026	10.8023313	9.651160685	9.776537932	10.03318023	9.35004091	10.30482297	9.884902894	9.705505493	9.909128288	8.720783066	9.935889529	10.35765233	10.10258863	9.083467162	8.716569725	9.438680182	10.16018154	9.10284128	8.869246776	8.878796099	9.270156396	9.499480274	10.22127272	9.484299504	9.304567807	11.33607649	9.853771168	10.57259603	10.59804332	9.483159362	10.66048802	10.83945173	10.42988201	10.54853668	10.7380814	10.92598892	10.8434987	10.01401578	9.554392082	9.610230002	9.529161787	10.46227287	10.88675671	9.740524547	10.20832932	10.17604455	9.827431165	11.17309478	11.04840864	10.22440995	10.60021904	9.742400327	9.841261048	9.690514905	10.0095415	9.94567585	9.676519437	10.54686231	9.25833682	9.367203351	9.839900063	9.713659045	9.719103152	11.13630506	11.10294214	11.07055064	9.291926397	9.768564638	9.693213494	10.66089183	11.16120548	11.24085933	10.67265157	10.97320132	10.85600185	11.10727811	9.594868367	10.75302712	9.750285792	10.03218928	10.06645185	9.003056743	11.34010111	10.01298231	10.0512125	9.655525702	10.85735083	10.71462837	9.995579701	10.13243687	10.28684515	10.98565782	10.94671353	9.418167742	10.29114393	10.62249684	12.21756371	9.848763078	9.831163921	9.762193749	10.14899235	10.78869712	11.30269312	9.395021561	10.90655986	10.92411504	10.6156749	9.792112497	11.7365863	8.794165387	10.39922976	10.21130495	10.59749397	10.4750579	10.37997934	10.65773872	10.90663126	11.35043643	10.6757145	10.22294798	10.22240757	10.27857022	12.19603618	11.37180471	11.25539701	10.24292273	10.56002847	10.73623764	10.56517949	11.15426478	11.60158328	10.06805447	10.17623386	10.98395529	10.96697909	11.47254871	11.51408204	11.64049915	11.39168764	9.969142271	12.00740392	9.552845228	9.661547145	10.65076453	10.49804702	10.86535792	10.93572223	10.05319566	10.17681836	10.88715552	10.7905916	10.36133442	10.89680624	10.29528839	12.3774543	12.03471493	10.53583097	10.92956827	10.21563806	10.78955316	10.02596365	9.426220695	9.496300536	10.41507235	11.06431754	11.82113659	10.77589491	11.59692018	11.22558381	11.32721798	11.10117831	12.03898218	9.858042327	9.388090932	11.26384019	9.75375336	10.50989033	9.4822231	10.86990088	10.53435472	10.54583569	10.55556763	9.787226504	10.91600269	10.18642735	10.11321754	11.43829263	10.19568139	9.798012952	10.13745997
ARHGDIA	10.74497894	10.30060964	10.76446595	10.13776917	10.53892942	10.3723583	10.34709431	10.32043034	10.70519127	10.41662994	10.51598271	10.74264615	10.03122548	10.39191402	10.39746811	10.61530585	11.12052916	10.55122917	10.85355107	10.80067242	10.7843391	11.17473696	10.54641304	10.82489698	10.5618026	10.70746002	10.83960809	10.69075492	10.51923916	11.34977726	10.86314382	11.26386763	10.41451199	10.81825215	10.76414537	10.86284887	10.97148435	9.853682538	9.809240459	9.762874456	10.06917747	10.38697338	10.03788224	9.807728768	10.06613528	10.17613899	9.739288783	10.06995863	9.958517321	10.159596	10.36993722	10.25895041	10.14309921	10.00379826	10.08486857	10.42783645	10.04903501	10.1681659	10.38160134	9.702205514	9.762152838	9.969809816	9.985914307	10.22025319	10.04954361	10.7648298	10.03345438	10.08368347	10.05532772	10.18971657	10.2920909	9.865774306	10.10328188	10.37559937	10.38046115	9.744156691	9.831248681	9.924222656	10.77647528	9.89620104	10.22569569	9.791198543	10.09913596	9.733408522	9.944212306	9.786739137	9.543549818	9.796136958	10.7884891	9.800240999	10.19925554	10.32009379	9.955620656	10.49179812	9.864832095	10.59473541	10.25309219	10.36769897	10.25992097	10.20607312	10.09863082	10.25352907	10.96106433	10.12658121	9.860635853	10.22134452	9.997352679	9.99953793	9.483279578	10.04145257	10.07474927	10.19373847	10.10307318	9.821268848	9.737752428	10.41523547	9.945750767	9.758392284	10.88859076	10.03882609	9.783927933	10.08259073	9.871924152	9.732166376	9.535640766	9.886157096	9.953342686	10.10274317	9.397496574	9.921137571	9.787585082	9.938312995	10.0246917	10.36063376	9.510307681	9.869832151	9.82913301	10.06732569	9.936289127	10.06035741	10.0641887	10.17657855	9.638616185	9.989946463	10.39446897	9.847951639	9.944200781	9.949820254	9.97532651	9.585847157	10.02396045	10.37054008	9.246499461	10.32547102	10.44214973	10.20080496	10.1182902	10.16097732	9.769501656	10.49094875	9.873191095	10.15037939	10.03878756	9.822737039	10.04928557	10.03297492	9.359220592	9.307244095	9.690251693	9.844743915	10.12503464	10.16105266	10.04826349	10.67985029	10.0255747	9.824972127	9.797634746	9.733656518	10.05378247	9.530833093	10.11082125	9.888124899	9.728743897	9.141746232	10.00406791	10.70519551	9.814268489	10.39253042	9.971900436	10.13702412	10.10751613	9.990867943	10.03691081	9.975042027	9.965899959	10.06055062	10.09505217	9.980797491	9.930197836	9.796831568	10.02361839	9.75682156
