GeneSymbol	tax_id	GeneID	LocusTag	Synonyms	dbXrefs	chromosome	map_location	description	type_of_gene	Symbol_from_nomenclature_authority	Full_name_from_nomenclature_authority	Nomenclature_status	Other_designations	Modification_date	Feature_type
ABCA1	9606	19	-	ABC-1|ABC1|CERP|HDLCQTL13|HDLDT1|HPALP1|TGD	MIM:600046|HGNC:HGNC:29|Ensembl:ENSG00000165029|AllianceGenome:HGNC:29	9	9q31.1	ATP binding cassette subfamily A member 1	protein-coding	ABCA1	ATP binding cassette subfamily A member 1	O	phospholipid-transporting ATPase ABCA1|ATP-binding cassette sub-family A member 1|ATP-binding cassette transporter A1|ATP-binding cassette, sub-family A (ABC1), member 1|cholesterol efflux regulatory protein|membrane-bound	20250503	-
ACRBP	9606	84519	-	CT23|OY-TES-1|SP32	MIM:608352|HGNC:HGNC:17195|Ensembl:ENSG00000111644|AllianceGenome:HGNC:17195	12	12p13.31	acrosin binding protein	protein-coding	ACRBP	acrosin binding protein	O	acrosin-binding protein|acrosin-binding protein, 60 kDa form|cancer/testis antigen 23|cancer/testis antigen OY-TES-1|proacrosin binding protein sp32|testicular tissue protein Li 10	20250503	-
ACTN4	9606	81	-	ACTININ-4|FSGS|FSGS1	MIM:604638|HGNC:HGNC:166|Ensembl:ENSG00000130402|AllianceGenome:HGNC:166	19	19q13.2	actinin alpha 4	protein-coding	ACTN4	actinin alpha 4	O	alpha-actinin-4|focal segmental glomerulosclerosis 1|non-muscle alpha-actinin 4	20250503	-
ALS2CR13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ANKRD12	9606	23253	-	ANCO-2|ANCO1|GAC-1|Nbla00144	MIM:610616|HGNC:HGNC:29135|Ensembl:ENSG00000101745|AllianceGenome:HGNC:29135	18	18p11.22	ankyrin repeat domain 12	protein-coding	ANKRD12	ankyrin repeat domain 12	O	ankyrin repeat domain-containing protein 12|ankyrin repeat-containing cofactor 2|ankyrin repeats containing cofactor 2	20250503	-
ANXA1	9606	301	-	ANX1|LPC1	MIM:151690|HGNC:HGNC:533|Ensembl:ENSG00000135046|AllianceGenome:HGNC:533	9	9q21.13	annexin A1	protein-coding	ANXA1	annexin A1	O	annexin A1|annexin I (lipocortin I)|annexin-1|calpactin II|calpactin-2|chromobindin-9|epididymis secretory sperm binding protein|phospholipase A2 inhibitory protein	20250503	-
AP1S2	9606	8905	-	DC22|MRX59|MRXS21|MRXS5|MRXSF|PGS|SIGMA1B	MIM:300629|HGNC:HGNC:560|Ensembl:ENSG00000182287|AllianceGenome:HGNC:560	X	Xp22.2	adaptor related protein complex 1 subunit sigma 2	protein-coding	AP1S2	adaptor related protein complex 1 subunit sigma 2	O	AP-1 complex subunit sigma-2|adapter-related protein complex 1 sigma-1B subunit|adaptor protein complex AP-1 sigma-1B subunit|adaptor related protein complex 1 sigma 2 subunit|adaptor-related protein complex 1 subunit sigma-1B|clathrin adaptor complex AP1 sigma 1B subunit|clathrin assembly protein complex 1 sigma-1B small chain|golgi adaptor HA1/AP1 adaptin sigma-1B subunit|sigma1B-adaptin	20250503	-
ARG1	9606	383	-	-	MIM:608313|HGNC:HGNC:663|Ensembl:ENSG00000118520|AllianceGenome:HGNC:663	6	6q23.2	arginase 1	protein-coding	ARG1	arginase 1	O	arginase-1|arginase, liver|liver-type arginase|type I arginase	20250511	-
ARGLU1	9606	55082	-	-	MIM:614046|HGNC:HGNC:25482|Ensembl:ENSG00000134884|AllianceGenome:HGNC:25482	13	13q33.3	arginine and glutamate rich 1	protein-coding	ARGLU1	arginine and glutamate rich 1	O	arginine and glutamate-rich protein 1	20250503	-
ARHGDIA	9606	396	-	GDIA1|HEL-S-47e|NPHS8|RHOGDI|RHOGDI-1	MIM:601925|HGNC:HGNC:678|Ensembl:ENSG00000141522|AllianceGenome:HGNC:678	17	17q25.3	Rho GDP dissociation inhibitor alpha	protein-coding	ARHGDIA	Rho GDP dissociation inhibitor alpha	O	rho GDP-dissociation inhibitor 1|GDP-dissociation inhibitor, aplysia RAS-related 1|Rho GDP dissociation inhibitor (GDI) alpha|epididymis secretory sperm binding protein Li 47e	20250511	-
ASNSD1	9606	54529	-	NBLA00058|NS3TP1	MIM:619739|HGNC:HGNC:24910|Ensembl:ENSG00000138381|AllianceGenome:HGNC:24910	2	2q32.2	asparagine synthetase domain containing 1	protein-coding	ASNSD1	asparagine synthetase domain containing 1	O	asparagine synthetase domain-containing protein 1|HCV NS3-transactivated protein 1	20250503	-
ATP5C1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ATP5J	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ATP6V1G1	9606	9550	-	ATP6G|ATP6G1|ATP6GL|ATP6J|Vma10	MIM:607296|HGNC:HGNC:864|Ensembl:ENSG00000136888|AllianceGenome:HGNC:864	9	9q32	ATPase H+ transporting V1 subunit G1	protein-coding	ATP6V1G1	ATPase H+ transporting V1 subunit G1	O	V-type proton ATPase subunit G 1|ATPase, H+ transporting, lysosomal (vacuolar proton pump), member J|ATPase, H+ transporting, lysosomal 13kDa, V1 subunit G1|V-ATPase 13 kDa subunit 1|V-ATPase subunit G 1|vacuolar ATP synthase subunit M16|vacuolar H(+)-ATPase subunit G 1|vacuolar proton pump subunit G 1|vacuolar proton pump subunit M16	20250511	-
BAZ2B	9606	29994	-	WALp4	MIM:605683|HGNC:HGNC:963|Ensembl:ENSG00000123636|AllianceGenome:HGNC:963	2	2q24.2	bromodomain adjacent to zinc finger domain 2B	protein-coding	BAZ2B	bromodomain adjacent to zinc finger domain 2B	O	bromodomain adjacent to zinc finger domain protein 2B	20250503	-
BNIP2	9606	663	-	BNIP-2|NIP2	MIM:603292|HGNC:HGNC:1083|Ensembl:ENSG00000140299|AllianceGenome:HGNC:1083	15	15q22.2	BCL2 interacting protein 2	protein-coding	BNIP2	BCL2 interacting protein 2	O	BCL2/adenovirus E1B 19 kDa protein-interacting protein 2|BCL2/adenovirus E1B 19kDa interacting protein 2	20250503	-
BTAF1	9606	9044	-	MOT1|TAF(II)170|TAF172|TAFII170	MIM:605191|HGNC:HGNC:17307|Ensembl:ENSG00000095564|AllianceGenome:HGNC:17307	10	10q23.32	B-TFIID TATA-box binding protein associated factor 1	protein-coding	BTAF1	B-TFIID TATA-box binding protein associated factor 1	O	TATA-binding protein-associated factor 172|ATP-dependent helicase BTAF1|B-TFIID transcription factor-associated 170 kDa subunit|BTAF1 RNA polymerase II, B-TFIID transcription factor-associated, 170kDa (Mot1 homolog, S. cerevisiae)|Mot1 homolog|TBP-associated factor 172	20250503	-
C11orf46	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C14orf2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C15orf15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C15orf39	9606	56905	-	-	MIM:621142|HGNC:HGNC:24497|Ensembl:ENSG00000167173|AllianceGenome:HGNC:24497	15	15q24.2	chromosome 15 open reading frame 39	protein-coding	C15orf39	chromosome 15 open reading frame 39	O	uncharacterized protein C15orf39	20250503	-
C16orf35	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C17orf45	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C17orf61	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C19orf59	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C1orf119	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C1orf218	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C20orf55	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C5orf29	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C8orf59	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAB39	9606	51719	-	CGI-66|MO25	MIM:612174|HGNC:HGNC:20292|Ensembl:ENSG00000135932|AllianceGenome:HGNC:20292	2	2q37.1	calcium binding protein 39	protein-coding	CAB39	calcium binding protein 39	O	calcium-binding protein 39|MO25alpha	20250503	-
CAMP	9606	820	-	CAP-18|CAP18|CRAMP|FALL-39|FALL39|HSD26|LL37	MIM:600474|HGNC:HGNC:1472|Ensembl:ENSG00000164047|AllianceGenome:HGNC:1472	3	3p21.31	cathelicidin antimicrobial peptide	protein-coding	CAMP	cathelicidin antimicrobial peptide	O	cathelicidin antimicrobial peptide|18 kDa cationic antimicrobial protein|epididymis secretory sperm binding protein	20250503	-
CAPZA2	9606	830	-	CAPPA2|CAPZ	MIM:601571|HGNC:HGNC:1490|Ensembl:ENSG00000198898|AllianceGenome:HGNC:1490	7	7q31.2	capping actin protein of muscle Z-line subunit alpha 2	protein-coding	CAPZA2	capping actin protein of muscle Z-line subunit alpha 2	O	F-actin-capping protein subunit alpha-2|F-actin capping protein alpha-2 subunit|capZ alpha-2|capping actin protein of muscle Z-line alpha subunit 2|capping protein (actin filament) muscle Z-line, alpha 2|epididymis secretory sperm binding protein	20250503	-
CARM1	9606	10498	-	PRMT4	MIM:603934|HGNC:HGNC:23393|Ensembl:ENSG00000142453|AllianceGenome:HGNC:23393	19	19p13.2	coactivator associated arginine methyltransferase 1	protein-coding	CARM1	coactivator associated arginine methyltransferase 1	O	histone-arginine methyltransferase CARM1|protein arginine N-methyltransferase 4	20250503	-
CCDC72	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CD3E	9606	916	-	CD3epsilon|IMD18|T3E|TCRE	MIM:186830|HGNC:HGNC:1674|Ensembl:ENSG00000198851|AllianceGenome:HGNC:1674	11	11q23.3	CD3 epsilon subunit of T-cell receptor complex	protein-coding	CD3E	CD3 epsilon subunit of T-cell receptor complex	O	T-cell surface glycoprotein CD3 epsilon chain|CD3-epsilon|CD3e antigen, epsilon polypeptide (TiT3 complex)|CD3e molecule, epsilon (CD3-TCR complex)|T-cell antigen receptor complex, epsilon subunit of T3|T-cell surface antigen T3/Leu-4 epsilon chain	20250503	-
CD48	9606	962	-	BCM1|BLAST|BLAST1|MEM-102|SLAMF2|hCD48|mCD48	MIM:109530|HGNC:HGNC:1683|Ensembl:ENSG00000117091|AllianceGenome:HGNC:1683	1	1q23.3	CD48 molecule	protein-coding	CD48	CD48 molecule	O	CD48 antigen|B-lymphocyte activation marker BLAST-1|BCM1 surface antigen|CD48 antigen (B-cell membrane protein)|SLAM family member 2|TCT.1|leukocyte antigen MEM-102|signaling lymphocytic activation molecule 2	20250503	-
CD52	9606	1043	-	CDW52|EDDM5|HE5	MIM:114280|HGNC:HGNC:1804|Ensembl:ENSG00000169442|AllianceGenome:HGNC:1804	1	1p36.11	CD52 molecule	protein-coding	CD52	CD52 molecule	O	CAMPATH-1 antigen|CD52 antigen (CAMPATH-1 antigen)|CDW52 antigen (CAMPATH-1 antigen)|HEL-S-171mP|cambridge pathology 1 antigen|epididymal secretory protein E5|epididymis secretory sperm binding protein Li 171mP|human epididymis-specific protein 5	20250503	-
